Particulars,Bank,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
loan and advancements,Sunrise Bank,,,,,,,,,,,,,,,,,,-0.058073 -0.544255 -1.209051,-0.057832 -0.570148 -1.190616,-0.057522 -0.513053 -1.166905,-0.057389 -0.677196 -1.156687,-0.056479 -0.487342 -1.087004,-0.056373 -0.528703 -1.078841,-0.056184 -0.596468 -1.064419,-0.056205 -0.781450 -1.066033,-0.055202 -0.527252 -0.989203,-0.055358 -0.760053 -1.001106,-0.055357 -0.905719 -1.001045,-0.055393 -1.065259 -1.003798,-0.054866 -1.053964 -0.963425,-0.054219 -1.104672 -0.913887,-0.053827 -1.131860 -0.883830,-0.053149 -1.051231 -0.831945,-0.052507 -0.973891 -0.782732,-0.051834 -1.017961 -0.731156,-0.050537 -1.037234 -0.631875,-0.047326 -0.791156 -0.385877,-0.046059 -0.668584 -0.288824,-0.045079 -0.383236 -0.213807,-0.044499 -0.716805 -0.169362,-0.044194 -0.870428 -0.145959,-0.043218 -0.890242 -0.071249,-0.042600 -0.983028 -0.023892,-0.041999 -1.020309 0.022165,-0.041079 -1.026977 0.092579,-0.038943 -0.942950 0.256232,-0.038533 -0.993199 0.287631,-0.037790 -1.029903 0.344569,-0.037729 -1.111225 0.349178,-0.036391 -0.251549 0.451661,-0.035236 -0.979210 0.540170,-0.033196 -1.028870 0.696434,-0.032993 -1.065122 0.711989,-0.031578 -0.981936 0.820364,-0.031031 -1.018394 0.862282,-0.028658 -1.068647 1.043988,-0.026293 -1.022166 1.225184,-0.020804 -0.886546 1.645594,-0.018478 -0.932984 1.823781,-0.018368 -0.929414 1.832175,-0.018970 -0.962468 1.786118,-0.019297 -1.035029 1.761061,-0.019548 -0.979552 1.741832,-0.019343 -1.052329 1.757540,,,,
interest income,Sunrise Bank,,,,,,,,,,,,,,,,,,-0.068440 -0.362213 -1.380822,-0.064287 -0.580947 -1.114771,-0.058818 -0.504614 -0.764494,-0.052517 -0.544539 -0.360899,-0.068584 -0.537989 -1.389998,-0.062848 -0.589229 -1.022624,-0.056960 -0.612075 -0.645514,-0.049804 -0.451176 -0.187170,-0.067343 -0.462608 -1.310563,-0.060608 -0.381350 -0.879158,-0.054447 -0.447163 -0.484534,-0.047850 -0.725891 -0.061991,-0.067877 -1.100303 -1.344733,-0.061428 -0.789418 -0.931672,-0.055133 -0.801310 -0.528492,-0.048075 -0.826085 -0.076435,-0.066304 -0.768115 -1.244021,-0.058249 -1.017145 -0.728037,-0.050251 -0.982557 -0.215819,-0.040701 -1.094211 0.395864,-0.062366 -0.266806 -0.991778,-0.049659 -0.285522 -0.177865,-0.035113 -0.327683 0.753790,-0.016995 -0.572990 1.914274,-0.051410 0.286214 -0.290034,-0.035594 -0.684863 0.723016,-0.015992 -0.268541 1.978468,0.006950 -0.172792 3.447918,-0.050208 -0.241250 -0.213016,-0.025540 -0.436094 1.366936,-0.048959 -0.849056 -0.133018,-0.048003 -1.086412 -0.071809,-0.046393 -0.251114 0.031333,-0.047898 -1.034475 -0.065107,-0.046379 -0.693313 0.032181,-0.046814 -0.857710 0.004376,-0.048276 -1.015389 -0.089307,-0.050340 -0.952054 -0.221468,-0.051662 -1.006600 -0.306172,-0.048746 -0.947409 -0.119427,-0.045329 -0.838364 0.099432,-0.039779 -0.665290 0.454952,-0.033624 -0.738587 0.849138,-0.026669 -0.794434 1.294615,-0.026006 -0.888973 1.337071,-0.024934 -0.880097 1.405781,-0.027185 -1.033428 1.261607,,,,
interest expense,Sunrise Bank,,,,,,,,,,,,,,,,,,-0.068501 -0.766616 -1.279960,-0.062999 -0.534161 -0.922930,-0.057056 -0.594844 -0.537249,-0.050945 -0.599291 -0.140694,-0.068566 -0.751516 -1.284164,-0.063673 -0.688957 -0.966619,-0.058774 -0.708301 -0.648728,-0.053509 -0.880137 -0.307043,-0.067684 -0.835890 -1.226958,-0.062319 -0.967359 -0.878782,-0.057309 -1.038488 -0.553656,-0.052264 -1.135187 -0.226256,-0.068704 -1.311105 -1.293123,-0.064058 -1.256978 -0.991628,-0.059004 -1.265764 -0.663682,-0.052784 -1.213132 -0.260024,-0.067054 -0.568300 -1.186033,-0.060787 -0.716860 -0.779373,-0.054694 -0.722371 -0.383937,-0.048030 -0.762564 0.048499,-0.064882 -0.013543 -1.045076,-0.055127 -0.088234 -0.412066,-0.041577 -0.154179 0.467254,-0.023651 -0.378257 1.630591,-0.054915 -0.559106 -0.398315,-0.036889 -0.537333 0.771467,-0.017865 -0.263934 2.006060,0.002890 -0.279993 3.352971,-0.051677 -0.140028 -0.188177,-0.029259 -0.293534 1.266666,-0.051254 -0.800288 -0.160688,-0.050339 -1.040006 -0.101337,-0.050290 -0.251308 -0.098131,-0.050106 -1.084146 -0.086222,-0.047767 -0.862208 0.065571,-0.047413 -0.949718 0.088520,-0.050307 -1.154324 -0.099274,-0.052821 -1.071560 -0.262398,-0.052665 -0.921505 -0.252252,-0.051408 -0.943327 -0.170733,-0.045835 -0.759372 0.190932,-0.037167 -0.609618 0.753476,-0.032965 -0.721970 1.026160,-0.027371 -0.803204 1.389160,-0.024903 -0.880358 1.549305,-0.024021 -0.981106 1.606560,-0.024241 -1.016813 1.592315,,,,
net interest income,Sunrise Bank,,,,,,,,,,,,,,,,,,-0.068793 -0.026933 -1.483415,-0.067308 -0.589597 -1.393937,-0.062861 -0.491507 -1.126089,-0.056325 -0.562778 -0.732413,-0.069084 -0.701270 -1.500921,-0.061853 -0.527546 -1.065364,-0.054192 -0.513745 -0.603912,-0.043561 -0.433294 0.036400,-0.067182 -0.282595 -1.386374,-0.057961 -0.382270 -0.830951,-0.049722 -0.443434 -0.334682,-0.040288 -0.490312 0.233558,-0.066773 -0.905328 -1.361749,-0.057003 -0.485695 -0.773262,-0.048461 -0.511519 -0.258711,-0.039944 -0.850333 0.254278,-0.065383 -0.665177 -1.277977,-0.054065 -0.833950 -0.596275,-0.042586 -0.892197 0.095134,-0.027704 -0.898165 0.991556,-0.058142 -0.269020 -0.841865,-0.040040 -0.255596 0.248488,-0.023888 -0.259392 1.221414,-0.005777 -0.582038 2.312310,-0.045516 0.550998 -0.081362,-0.034260 -0.448678 0.596664,-0.013960 -0.513293 1.819411,0.012697 -0.473000 3.425073,-0.048239 -0.265578 -0.245345,-0.019773 -0.550320 1.469249,-0.045434 -0.691734 -0.076419,-0.044420 -0.913528 -0.015309,-0.039852 -0.250755 0.259809,-0.044563 -0.876369 -0.023939,-0.044647 -0.896907 -0.028984,-0.046581 -0.678330 -0.145497,-0.045272 -0.763406 -0.066618,-0.046430 -0.693294 -0.136374,-0.050558 -1.036550 -0.385035,-0.044524 -0.900785 -0.021554,-0.045308 -0.925027 -0.068806,-0.045846 -0.732805 -0.101189,-0.036078 -0.745493 0.487144,-0.026659 -0.751497 1.054519,-0.029467 -0.885372 0.885334,-0.028052 -0.663158 0.970595,-0.034148 -1.033668 0.603392,,,,
net fee and commission income,Sunrise Bank,,,,,,,,,,,,,,,,,,-0.067711 -0.801067 -1.582475,-0.062126 -0.240112 -1.221711,-0.061753 -0.573466 -1.197644,-0.057310 -0.493814 -0.910644,-0.064862 -0.415753 -1.398438,-0.059687 -0.191419 -1.064207,-0.056519 -0.303558 -0.859570,-0.053133 -0.460544 -0.640886,-0.064476 -0.468506 -1.373523,-0.059436 -0.530413 -1.047990,-0.054850 -0.499604 -0.751797,-0.051574 -0.493777 -0.540170,-0.063716 -0.557021 -1.324431,-0.059330 -0.627404 -1.041164,-0.054426 -0.615897 -0.724383,-0.048969 -0.606018 -0.371909,-0.021478 3.268588 1.403804,-0.059576 -0.714149 -1.057051,-0.053617 -0.685953 -0.672098,-0.041658 -0.570119 0.100350,-0.062382 -0.611040 -1.238258,-0.053742 -0.589580 -0.680212,-0.044521 -0.579483 -0.084601,-0.032129 -0.579882 0.715822,-0.058594 -0.631125 -0.993602,-0.044510 -0.510661 -0.083897,-0.034321 -0.560789 0.574271,-0.018526 -0.395787 1.594469,-0.036427 -0.407004 0.438203,-0.011257 -0.452382 2.064008,-0.043799 -0.430118 -0.037941,-0.032247 -0.344409 0.708195,-0.031191 -0.251184 0.776394,-0.022234 0.095628 1.355006,-0.030890 0.002813 0.795838,-0.042484 -0.317635 0.046983,-0.026795 -0.225879 1.060354,-0.028443 -0.207946 0.953948,-0.018394 -0.121646 1.603020,-0.031707 -0.563996 0.743074,-0.022274 -0.666351 1.352409,-0.023333 -0.274980 1.284016,-0.032576 -0.679786 0.686969,-0.026683 -0.423406 1.067622,-0.030674 -0.896999 0.809832,-0.036588 -0.829530 0.427814,-0.038006 -0.891484 0.336200,,,,
total operating income,Sunrise Bank,,,,,,,,,,,,,,,,,,-0.070573 -0.435278 -1.533584,-0.068320 -0.607516 -1.397521,-0.063878 -0.537993 -1.129264,-0.057299 -0.578332 -0.731992,-0.069816 -0.680774 -1.487877,-0.062164 -0.433057 -1.025774,-0.054785 -0.452362 -0.580177,-0.045238 -0.456627 -0.003596,-0.068017 -0.335867 -1.379259,-0.059055 -0.463586 -0.838042,-0.050890 -0.517380 -0.344923,-0.041781 -0.579575 0.205163,-0.067567 -0.715106 -1.352063,-0.057747 -0.811345 -0.759053,-0.048738 -0.822747 -0.214961,-0.039644 -0.893133 0.334205,-0.066007 -0.834254 -1.257844,-0.054489 -0.816468 -0.562294,-0.042256 -0.851901 0.176464,-0.026114 -0.876368 1.151309,-0.059061 -0.537558 -0.838354,-0.040783 -0.537310 0.265442,-0.024287 -0.592133 1.261668,-0.006204 -0.646965 2.353692,-0.058383 -0.731342 -0.797438,-0.034907 -0.554129 0.620309,-0.014374 -0.628458 1.860304,0.012108 -0.535398 3.459538,-0.048590 -0.914268 -0.206040,-0.020346 -0.763600 1.499624,-0.047829 -0.751758 -0.160069,-0.044528 -0.842512 0.039267,-0.042079 -0.251044 0.187145,-0.043412 -0.706277 0.106662,-0.045278 -0.805168 -0.005990,-0.048659 -0.717793 -0.210208,-0.044882 -0.763872 0.017902,-0.045628 -0.771345 -0.027176,-0.046745 -1.041729 -0.094631,-0.042242 -0.936799 0.177318,-0.041422 -0.909497 0.226858,-0.043798 -0.702072 0.083341,-0.039385 -0.804102 0.349843,-0.032611 -0.856663 0.758977,-0.034099 -0.950191 0.669080,-0.033287 -0.759698 0.718105,-0.038291 -1.063045 0.415916,,,,
staff expenses,Sunrise Bank,,,,,,,,,,,,,,,,,,-0.062553 0.227821 -1.584566,-0.058961 0.257012 -1.297079,-0.055148 0.280414 -0.991995,-0.050624 0.163333 -0.629949,-0.061978 0.113221 -1.538495,-0.058106 0.108583 -1.228661,-0.053771 -0.058221 -0.881777,-0.048640 -0.198392 -0.471246,-0.060893 0.002550 -1.451701,-0.056372 -0.270583 -1.089937,-0.051167 -0.240579 -0.673441,-0.044922 -0.251652 -0.173694,-0.060660 -0.459201 -1.433041,-0.055773 -0.484384 -1.042029,-0.050479 -0.466777 -0.618368,-0.044265 -0.493773 -0.121121,-0.059257 -0.489961 -1.320777,-0.053252 -0.517329 -0.840273,-0.046528 -0.532788 -0.302177,-0.037473 -0.547734 0.422395,-0.057357 -0.552774 -1.168727,-0.049510 -0.547146 -0.540812,-0.039690 -0.541534 0.245013,-0.033689 -0.684879 0.725169,-0.033730 1.373262 0.721889,-0.040909 -0.511011 0.147432,-0.027721 -0.553140 1.202721,-0.009304 -0.446918 2.676494,-0.043146 -0.663634 -0.031577,-0.022873 -0.757449 1.590703,-0.044143 -0.746475 -0.111356,-0.038718 -0.641011 0.322787,-0.036618 -0.251091 0.490821,-0.037975 -0.574329 0.382181,-0.044084 -1.173783 -0.106627,-0.033858 -0.206054 0.711649,-0.032115 -0.418241 0.851147,-0.035675 -0.698726 0.566296,-0.038277 -0.964474 0.358058,-0.034061 -0.734253 0.695430,-0.029508 -0.745868 1.059746,-0.031025 -0.513815 0.938337,-0.028807 -0.559453 1.115828,-0.020968 -0.420747 1.743168,-0.023859 -0.613359 1.511796,-0.028319 -0.807165 1.154926,-0.042559 -1.270100 0.015440,,,,
operating profit,Sunrise Bank,,,,,,,,,,,,,,,,,,-0.074036 -0.520105 -1.192858,-0.075007 -0.640565 -1.241451,-0.073558 -0.652439 -1.168950,-0.070651 -0.660540 -1.023611,-0.074743 -0.610644 -1.228233,-0.071515 -0.689759 -1.066781,-0.067071 -0.746071 -0.844577,-0.059631 -0.789382 -0.472502,-0.072264 -0.531468 -1.104273,-0.067275 -0.878934 -0.854768,-0.063072 -0.962356 -0.644577,-0.056738 -1.043164 -0.327800,-0.069620 -0.713535 -0.972010,-0.063533 -0.807479 -0.667604,-0.061348 -0.875367 -0.558359,-0.056521 -0.912943 -0.316970,-0.068727 -0.774560 -0.927372,-0.056618 -0.857723 -0.321840,-0.044718 -0.857216 0.273300,-0.029701 -0.970872 1.024257,-0.061544 -0.555664 -0.568163,-0.036183 -0.459279 0.700115,-0.017106 -0.518500 1.654140,0.002596 -0.629136 2.639426,-0.064118 -0.714282 -0.696879,-0.035112 -0.534709 0.753682,-0.017402 -0.707295 1.639342,0.009912 -0.662886 3.005276,-0.052581 -1.182663 -0.119943,-0.018781 -0.905096 1.570349,-0.045679 -0.645712 0.225230,-0.033612 -0.386313 0.828677,-0.044533 -0.251252 0.282533,-0.041625 -0.760679 0.427971,-0.076428 -1.875085 -1.312515,-0.045025 0.668058 0.257956,-0.049069 -0.751261 0.055686,-0.035650 -0.427299 0.726786,-0.058717 -1.680102 -0.426810,-0.043529 -0.049566 0.332751,-0.050379 -1.271690 -0.009833,-0.052204 -0.781242 -0.101095,-0.038893 -0.528648 0.564578,-0.030374 -0.818304 0.990607,-0.064455 -1.548481 -0.713759,-0.043688 -0.594996 0.324787,-0.038063 -0.285512 0.606083,,,,
non operating income expense,Sunrise Bank,,,,,,,,,,,,,,,,,,-0.104221 2.039837 0.071345,,-0.139260 -0.982064 -0.284973,-0.139223 -0.424304 -0.284598,,,-0.139294 -0.880848 -0.285317,-0.128586 -0.595461 -0.176421,-0.139359 -0.424647 -0.285973,-0.134404 -0.404374 -0.235589,-0.134296 -1.103992 -0.234495,-0.131899 -0.371620 -0.210115,-0.138664 -0.542110 -0.278910,-0.139408 -0.506586 -0.286474,-0.129978 -0.524656 -0.190580,-0.130872 -0.431743 -0.199676,-0.139454 -0.594552 -0.286942,-0.137373 -0.509324 -0.265782,-0.136030 -0.458195 -0.252123,-0.135372 -0.477221 -0.245434,-0.076638 -0.270672 0.351837,-0.065075 -0.313832 0.469422,-0.066578 -0.341638 0.454138,-0.003836 -0.343484 1.092166,-0.124353 -0.535398 -0.133382,-0.090433 -0.550336 0.211560,-0.083932 -0.637589 0.277666,-0.055409 -0.507492 0.567722,0.156072 3.232251 2.718292,0.337902 3.215106 4.567335,-0.135935 -0.477417 -0.251156,-0.281177 -0.672818 -1.728139,-0.129406 -0.270229 -0.184766,-0.137473 -0.244809 -0.266797,-0.131806 0.289107 -0.209171,-0.141929 -0.306523 -0.312114,,,-0.341674 -1.430804 -2.343333,,-0.137593 -0.459080 -0.268019,-0.135644 0.141299 -0.248196,-0.115420 0.516177 -0.042536,-0.089384 0.184642 0.222222,-0.118924 0.508640 -0.078176,-0.135037 0.361539 -0.242024,-0.179335 0.159690 -0.692492,,,,
profit for the period,Sunrise Bank,,,,,,,,,,,,,,,,,,-0.075987 -0.516359 -1.256175,-0.075728 -0.652422 -1.243698,-0.072913 -0.553157 -1.108370,-0.068291 -0.652086 -0.886153,-0.075288 -0.516334 -1.222543,-0.069689 -0.444238 -0.953389,-0.063349 -0.513469 -0.648548,-0.056415 -0.618173 -0.315195,-0.071964 -0.416967 -1.062768,-0.064216 -0.633495 -0.690245,-0.059612 -0.798825 -0.468886,-0.057184 -1.167293 -0.352168,-0.071841 -0.838540 -1.056846,-0.060458 -0.794461 -0.509531,-0.055173 -0.852755 -0.255476,-0.045735 -0.880435 0.198291,-0.070274 -0.517761 -0.981488,-0.053335 -0.803098 -0.167089,-0.037906 -0.788468 0.574738,-0.012886 -0.728992 1.777659,-0.060962 -0.551167 -0.533799,-0.036423 -0.568608 0.645997,-0.018702 -0.520998 1.498023,0.003427 -0.781835 2.561951,-0.063988 -0.797011 -0.679288,-0.037397 -0.738105 0.599194,-0.012516 -0.660413 1.795410,0.013223 -0.632763 3.032916,-0.055077 -1.170962 -0.250831,-0.021974 -0.920218 1.340710,-0.048096 -0.658521 0.084771,-0.044197 -0.853058 0.272231,-0.046872 -0.251689 0.143645,-0.044150 -0.772002 0.274508,-0.078371 -1.790509 -1.370782,-0.046715 0.757602 0.151171,-0.051474 -0.645322 -0.077592,-0.038331 -0.416894 0.554302,-0.064091 -1.766889 -0.684199,-0.050745 -0.352328 -0.042565,-0.052726 -1.307025 -0.137809,-0.056068 -0.843085 -0.298494,-0.041024 -0.557191 0.424805,-0.017258 -0.244898 1.567435,-0.066219 -1.542319 -0.786543,-0.047113 -0.623299 0.132041,-0.041318 -0.270792 0.410672,,,,
capital fund to rwa,Sunrise Bank,,,,,,,,,,,,,,,,,,0.292997 -0.126182 0.618996,0.053444 -0.124473 0.238259,-0.035802 -0.162406 0.096415,-0.092167 -0.402926 0.006830,-1.125535 -1.092167 -1.635567,-0.839010 -0.737069 -1.180175,-0.773251 -1.043620 -1.075659,-0.496120 -1.142208 -0.635198,-1.064472 -1.214848 -1.538516,-0.782645 -0.889055 -1.090590,-0.763856 -0.834164 -1.060728,-0.580668 -0.613566 -0.769576,-0.561880 0.226227 -0.739714,-0.730976 0.045876 -1.008470,-1.026895 -0.267576 -1.478792,-0.829616 -0.450768 -1.165244,-1.022198 -0.622417 -1.471327,-0.787342 -0.516196 -1.098055,-0.914164 -0.578202 -1.299622,-0.453846 -0.410835 -0.568009,-0.486726 -0.234416 -0.620267,-0.364601 -0.305605 -0.426165,-0.026408 -0.037044 0.111346,1.072720 0.429895 1.858259,0.645282 0.254130 1.178904,0.692253 0.440704 1.253559,0.762710 0.446119 1.365540,0.692253 0.308030 1.253559,0.020564 -0.245224 0.186001,0.044049 0.129057 0.223328,-0.392783 -0.607949 -0.470958,0.208449 0.075457 0.484618,0.020564 -0.230223 0.186001,1.124388 1.243030 1.940379,0.809681 1.353923 1.440195,0.870744 0.726961 1.537245,0.720436 0.514487 1.298351,0.842561 0.856294 1.492453,0.546642 0.867060 1.022130,0.466791 0.116932 0.895217,-0.073379 -0.478287 0.036692,-0.045196 -0.163671 0.081484,0.020564 -0.329679 0.186001,-0.162624 -0.695097 -0.105152,-0.082773 -0.600340 0.021761,-0.059287 0.021571 0.059088,0.133295 0.866153 0.365171,,,,
non performing loan to total loan,Sunrise Bank,,,,,,,,,,,,,,,,,,0.025265 1.543262 1.390171,0.025543 1.210907 1.399516,0.031109 1.274754 1.586410,0.003835 1.733173 0.670630,-0.021492 0.085171 -0.179736,0.001330 0.514184 0.586528,0.023595 1.198742 1.334103,0.023595 1.843775 1.334103,0.006061 0.910759 0.745388,0.000495 0.489423 0.558494,0.020255 1.316097 1.221967,0.045025 2.313111 2.053644,0.037789 0.360659 1.810682,0.029996 0.593253 1.549031,0.024430 0.527201 1.362137,0.000216 0.522953 0.549150,-0.005628 0.561309 0.352911,-0.016483 0.352947 -0.011532,-0.017039 0.132899 -0.030221,-0.045984 -0.150238 -1.002069,-0.033460 0.050497 -0.581558,-0.041531 0.054194 -0.852554,-0.038748 0.158202 -0.759107,-0.042366 0.121783 -0.880588,-0.039026 0.015695 -0.768451,-0.034573 0.280219 -0.618936,-0.040139 0.221924 -0.805830,-0.044871 0.280877 -0.964690,-0.049324 0.016038 -1.114205,-0.045427 -0.266781 -0.983379,-0.042366 0.158560 -0.880588,-0.051829 0.005951 -1.198307,-0.045149 0.038441 -0.974035,-0.033460 0.414772 -0.581558,-0.043757 -0.136440 -0.927311,-0.028728 0.454782 -0.422698,-0.036521 0.210997 -0.684349,-0.050994 -0.438634 -1.170273,-0.026502 1.094233 -0.347941,-0.042088 0.160879 -0.871243,-0.049045 0.169585 -1.104860,-0.041253 -0.144681 -0.843209,-0.042366 0.444146 -0.880588,-0.041531 0.859591 -0.852554,0.001330 1.654726 0.586528,0.013019 1.096735 0.979005,0.020255 0.546973 1.221967,,,,
total loan loss provision to npl,Sunrise Bank,,,,,,,,,,,,,,,,,,-0.209913 -0.004830 -0.597501,-0.223046 -0.154997 -1.076696,-0.230704 -0.350038 -1.356141,-0.223715 -0.793629 -1.101113,-0.196539 -0.070339 -0.109489,-0.208919 -0.324546 -0.561214,-0.229031 -0.356192 -1.295097,-0.224598 -0.328973 -1.133331,-0.220694 -0.361841 -0.990895,-0.209736 -0.301838 -0.591058,-0.216512 -0.321658 -0.838285,-0.222302 -0.315869 -1.049565,-0.221875 -0.307217 -1.033965,-0.220471 -0.325337 -0.982756,-0.210080 -0.375799 -0.603606,-0.197022 -0.378417 -0.127124,-0.193760 -0.343449 -0.008089,-0.188425 -0.332373 0.186573,-0.201836 -0.474372 -0.302795,-0.165886 -0.281700 1.008970,-0.198686 -0.388021 -0.187829,-0.182988 -0.279159 0.384966,-0.188527 -0.364952 0.182843,-0.177485 -0.283064 0.585733,-0.183713 -0.409842 0.358514,-0.208723 -0.371013 -0.554092,-0.197133 -0.648567 -0.131194,-0.180813 -0.421269 0.464323,-0.156369 -0.403297 1.356242,-0.172532 -0.510246 0.766490,-0.180952 -0.507457 0.459236,-0.158711 -0.455586 1.270780,-0.177457 -0.576290 0.586750,-0.211614 -0.667431 -0.659562,-0.126609 -0.001585 2.442145,-0.192923 -0.615694 0.022433,-0.171277 -0.604230 0.812273,-0.121915 -0.299392 2.613407,-0.204197 -0.679505 -0.388935,-0.164306 -0.531442 1.066623,-0.139490 -0.543233 1.972107,-0.172355 -0.670976 0.772934,-0.166165 -0.482399 0.998796,-0.164278 -0.525028 1.067640,-0.218073 -0.675487 -0.895260,-0.226243 -0.683905 -1.193357,-0.237684 -0.729911 -1.610830,,,,
cost of fund,Sunrise Bank,,,,,,,,,,,,,,,,,,2.049896 0.573455 2.206637,1.808275 0.546763 1.911908,1.802905 0.683557 1.905358,1.700888 0.734715 1.780917,0.530367 0.512300 0.353118,0.272638 0.406287 0.038740,0.165251 0.213928 -0.092251,0.170620 0.322094 -0.085701,0.159882 0.394451 -0.098800,-0.076370 0.386504 -0.386980,-0.232082 0.363096 -0.576917,-0.301883 0.456603 -0.662061,-0.726063 0.726567 -1.179474,-0.801234 0.700793 -1.271168,-0.785126 0.745226 -1.251519,-0.548874 1.103485 -0.963340,-0.581090 1.174656 -1.002637,-0.672369 1.314914 -1.113979,-0.801234 1.339247 -1.271168,-0.887143 0.558718 -1.375960,-0.973053 1.087650 -1.480753,-0.844188 0.806759 -1.323564,-0.511288 0.464742 -0.917493,-0.092478 0.306841 -0.406629,0.605538 0.388427 0.444811,0.616277 0.436788 0.457910,0.659232 0.199232 0.510307,0.696817 0.393554 0.556153,0.820313 0.637050 0.706793,0.739772 0.390648 0.608550,0.723664 0.536123 0.588901,0.621646 0.281915 0.464460,0.508890 0.149350 0.326920,0.519629 0.199666 0.340019,0.589430 0.457877 0.425163,0.202836 0.433197 -0.046404,-0.242820 0.071805 -0.590016,-0.554243 -0.134624 -0.969889,-0.640153 0.181708 -1.074682,-0.795864 -0.413575 -1.264618,0.068602 1.103105 -0.210143,0.315593 0.674652 0.091136,0.868637 1.096830 0.765739,0.938439 0.871407 0.850883,1.271339 0.649909 1.256954,1.555915 0.964322 1.604080,1.405573 0.682784 1.420692,,,,
base rate,Sunrise Bank,,,,,,,,,,,,,,,,,,,,,,,0.510407 0.011103 0.166759,0.933755 0.765220 0.641757,0.981456 0.719325 0.695278,0.719100 0.665635 0.400913,0.200349 0.451320 -0.181127,0.045320 0.564585 -0.355070,-0.014307 0.472575 -0.421971,-0.205112 1.104219 -0.636054,-0.694049 0.171554 -1.184644,-0.461506 0.743173 -0.923729,-0.169336 0.703766 -0.595914,-0.389954 1.343964 -0.843448,-0.711937 1.232210 -1.204714,-1.063734 1.173634 -1.599431,-1.063734 0.365515 -1.599431,-1.105473 0.774737 -1.646261,-0.640386 0.885420 -1.124433,0.492519 0.815680 0.146689,1.518095 0.949137 1.297388,1.298073 0.781618 1.050523,1.380954 0.867828 1.143515,1.607535 0.660339 1.397740,1.637348 0.810971 1.431190,1.386917 0.703319 1.150205,1.184187 0.650563 0.922742,1.064934 0.825364 0.788939,0.999344 0.793752 0.715348,0.790651 0.453350 0.481194,0.802577 0.607054 0.494574,0.820465 0.770253 0.514645,0.182461 0.435920 -0.201197,-0.503245 0.121528 -0.970560,-0.807340 -0.207590 -1.311756,-0.843116 0.750180 -1.351896,-1.159137 -0.274096 -1.706472,-0.145485 1.323453 -0.569153,0.176498 0.645111 -0.207887,0.874129 1.395995 0.574856,0.814502 0.702550 0.507955,1.369029 1.003465 1.130135,1.774489 1.144248 1.585063,1.607535 1.216266 1.397740,,,,
net interest spread,Sunrise Bank,,,,,,,,,,,,,,,,,,0.502200 1.501799 0.589164,-0.504444 0.631383 -1.003842,-1.227163 -0.306721 -2.147539,-0.801275 -0.094510 -1.473575,-0.001122 0.120230 -0.207339,-0.130179 -0.222831 -0.411571,-0.026934 -0.241283 -0.248186,0.786125 0.684379 1.038473,-0.698030 -0.405355 -1.310190,0.424766 -0.063350 0.466625,0.256992 -0.434992 0.201124,0.515105 -0.307183 0.609587,0.747408 0.621517 0.977203,0.953899 0.714405 1.303974,0.334426 0.098628 0.323663,0.321520 0.137722 0.303239,-0.065651 -0.041356 -0.309455,0.192463 -0.087748 0.099008,0.192463 -0.409093 0.099008,0.476388 0.214822 0.548317,0.824842 1.012835 1.099742,0.528011 0.538071 0.630010,0.489294 0.424465 0.568740,0.282803 0.788998 0.241970,0.244086 0.738968 0.180701,0.192463 0.524568 0.099008,-0.001122 -0.009570 -0.207339,0.127935 -0.588393 -0.003108,,0.334426 -0.000000 0.323663,0.411860 -0.131586 0.446201,0.502200 0.528132 0.589164,0.579634 -0.410159 0.711702,1.405598 0.690012 2.018784,1.044239 0.064357 1.446936,0.411860 0.861815 0.446201,0.360237 -0.011499 0.364509,0.063406 -0.031466 -0.105224,-0.478633 -0.253958 -0.962996,-0.026934 1.107611 -0.248186,-2.053127 -1.334310 -3.454621,-1.485277 -0.293974 -2.556002,-0.620595 -0.344460 -1.187651,0.411860 0.747806 0.446201,0.102123 0.511152 -0.043954,-0.052745 -2.466537 -0.289032,0.127935 -0.608919 -0.003108,,,,
market share price,Sunrise Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.416163 -0.315726 2.068290,0.190678 -0.466709 1.475191,,,-0.312007 -0.504172 0.152960,-0.446470 -0.534596 -0.200723,-0.587140 -0.671865 -0.570730,-0.626444 -0.647328 -0.674114,-0.655406 -0.778195 -0.750292,-0.624376 -0.804462 -0.668673,-0.686436 -1.036724 -0.831911,,,,,,,,,,,,,,,,,,,,,
